n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,matched_frac,sigma_px,crb,condition,arch
132,0.015507726406852385,-0.013263007140281502,0.25515873089750063,0.26789908520071076,0.361441127570319,07457,50,4,0.25,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0035946015956422883,0.07572122967822281,0.1583939958859085,0.15926236712527572,0.2354913398976518,07457,50,4,0.25,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.034581072536745694,0.01402787485817214,0.19226137847520744,0.18748534582355442,0.26582027251302587,07457,50,4,0.25,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.008450243529324553,-0.03652356891489461,0.2619662417485973,0.24838852208229004,0.3579734438996065,07457,50,4,0.375,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.00755890540668247,0.04640300618587467,0.1848755592168184,0.16899902476549994,0.24808045674676754,07457,50,4,0.375,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.007214046968655907,0.01223225720506349,0.19712541278852752,0.20577226389963538,0.2840774827096563,07457,50,4,0.375,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.02320991483741608,-0.01069099116566008,0.263883606833265,0.23287691307300346,0.3615817894177,07457,50,4,0.5,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.016264533279127136,0.05323027601088981,0.15729310757171544,0.161854564881393,0.2291679358373623,07457,50,4,0.5,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.012268825120074212,0.0020204531774012935,0.16426533711099378,0.21337078891663663,0.2716914964725774,07457,50,4,0.5,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.000553819435246794,-0.025700798394979074,0.2953310052358452,0.295703041906514,0.3792574869913487,07457,50,4,0.625,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.024788001179700814,0.06810245714171259,0.1897598922470116,0.15437811675548962,0.2409511634090944,07457,50,4,0.625,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.006177074873598087,-0.012974215001165135,0.21048979361444017,0.21527191801842535,0.29024088023165295,07457,50,4,0.625,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.030832024663112634,-0.029733360117013774,0.2563996700575031,0.24263124489936244,0.3728117512542899,07457,50,4,0.75,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.015431740190450682,0.06053063805685355,0.1780622090179634,0.15784131077178826,0.2406638856497239,07457,50,4,0.75,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.027707088173528405,0.015028244468323848,0.17778170856020575,0.2158476744142937,0.26912958143578875,07457,50,4,0.75,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02559613135736072,-0.019606521875786598,0.2952046173990394,0.25712856766238174,0.3782649544891182,07457,50,4,0.875,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0472795704015212,0.06377388164781905,0.16187242660263254,0.17711867017509994,0.24195205933827116,07457,50,4,0.875,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03809380884084135,0.0192060105463554,0.1946899801490254,0.19753249795908215,0.2759782326649406,07457,50,4,0.875,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.00839795647696917,-0.038973282371188134,0.22660299611063933,0.24139693669992793,0.318814699950029,07457,200,0,0.0,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
