n,bias_x,bias_y,bias_mag,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,n_pred,n_true,matched_frac,spurious_frac,sigma_px,crb,condition,arch
131,0.048499546288411466,0.04788830448455883,0.0681578733279405,0.3149613928055686,0.2521030076875601,0.46701389110667413,07364,50,2,0.625,raw,132,133,0.9849624060150376,0.007575757575757569,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.0009619054758829293,0.06970924628353004,0.06971588254883086,0.22268496851316621,0.19647976749672957,0.36752484273559555,07364,50,2,0.75,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.022255159673832736,0.052122571518331995,0.05667499090243795,0.31792473002933846,0.27700502912977515,0.4885570045515578,07364,50,2,0.75,raw,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.017923175645375267,0.07136084529765796,0.0735772415004208,0.22706702864357511,0.12204204796697975,0.361673971497441,07364,50,2,0.875,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.03434214443791461,0.040443439108955204,0.05305708860797355,0.23908660834143342,0.2953406458289924,0.4592784795431261,07364,50,2,0.875,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.02352055477289383,0.09826338041139593,0.10103914304218642,0.15972548506490558,0.17948639253382534,0.3271811012536715,07364,200,0,0.0,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.011287168174419548,0.028930210766951348,0.031054102151211155,0.1790588832350243,0.17574926714257563,0.32378539876990964,07364,200,0,0.0,raw,132,133,0.9849624060150376,0.007575757575757569,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03685140250785146,0.08983463294586613,0.09709936736824899,0.1805356238058356,0.1797743366785214,0.33700240776798795,07364,200,0,0.125,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.0313479988984966,0.024547366043378815,0.03981545195784887,0.17578230675502307,0.15003226954029886,0.35392749311052596,07364,200,0,0.125,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03984490505001759,0.05337346775482388,0.06660588201217774,0.1697821084474549,0.1657012646194054,0.33895249835361757,07364,200,0,0.25,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.03832786623064521,0.016189611187400033,0.041606836459810566,0.21096218095302136,0.18207437465734805,0.32491693696299323,07364,200,0,0.25,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03889550166549327,0.08470820289694814,0.09321126373910464,0.15634819971626718,0.17716820951618928,0.3522007177840536,07364,200,0,0.375,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.0112838355245799,0.03275323546958475,0.03464245051770784,0.19928176049228205,0.22903627047868522,0.3531169344329421,07364,200,0,0.375,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03878499315356976,0.07711258078914796,0.08631700765136222,0.1656556113544153,0.14851748389222705,0.3132155608915473,07364,200,0,0.5,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.03999526862818925,0.022052506723994725,0.045672032639820746,0.16521395398879915,0.18012281174106037,0.3116610921952448,07364,200,0,0.5,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.043376806137189305,0.0685340400619836,0.08110771823865394,0.1611277073961733,0.17137871241742536,0.32931773071714304,07364,200,0,0.625,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.038607599552676675,0.030763864779117966,0.04936559651587019,0.16727597276790032,0.16619772762286736,0.31193870497950427,07364,200,0,0.625,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.05281866975765759,0.07685125059106923,0.09325195221752632,0.18088948813671518,0.14206999281351318,0.30553343560404217,07364,200,0,0.75,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.039944837001776534,-0.002356538320828605,0.04001428839747159,0.18813400190529206,0.19899838476199458,0.30654372389558415,07364,200,0,0.75,raw,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.033130803192676694,0.07373014444918269,0.08083182739917007,0.18268230630006632,0.16802307032378783,0.3326305444151981,07364,200,0,0.875,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.007982127428533659,0.008949217518903652,0.011991782706753879,0.20421599454342865,0.18383153989710793,0.3095626968115354,07364,200,0,0.875,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
133,0.0383817113403353,0.08698544775757,0.09507693667234848,0.1903992719369503,0.15667456305702648,0.3377270644503433,07364,200,1,0.0,denoised,133,133,1.0,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.017949145978263914,0.023130602283401913,0.0292779200651608,0.19204408208519402,0.18239933861882493,0.32541820453332837,07364,200,1,0.0,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04015791654581591,0.09807840788025146,0.10598128303443814,0.16300254126077016,0.15142204945038903,0.3261792892741414,07364,200,1,0.125,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.015332099304373514,0.031103419815451616,0.03467702399709928,0.17479449180408935,0.17371198682563682,0.3196972254257999,07364,200,1,0.125,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.06134588410392894,0.03040005803511292,0.06846518111442425,0.15842499106401847,0.13760602293300897,0.33570287243748187,07364,200,1,0.25,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.03063484062371913,0.02765969157025694,0.04127410808003505,0.16942222721952374,0.20531094950404283,0.3036446389495056,07364,200,1,0.25,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
