stem,dose,blur,tilt,iou,condition,arch,model
00018,50,0.0,0.0,0.9065533980582524,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,0.0,0.1,0.9148550724637681,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,0.0,0.25,0.8912655971479501,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,1.0,0.0,0.8915876777251185,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,1.0,0.1,0.8976520168573149,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,1.0,0.25,0.8949554896142433,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,2.0,0.0,0.8751472320376914,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,2.0,0.1,0.899643705463183,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,50,2.0,0.25,0.8869822485207101,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,0.0,0.0,0.9047037263286499,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,0.0,0.1,0.8874617737003058,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,0.0,0.25,0.8941318814277072,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,1.0,0.0,0.9077669902912622,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,1.0,0.1,0.882280809319436,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,1.0,0.25,0.8894259818731118,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,2.0,0.0,0.9143897996357013,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,2.0,0.1,0.9029896278218426,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,200,2.0,0.25,0.8933493109646495,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,0.0,0.0,0.8966360856269113,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,0.0,0.1,0.8882750153468385,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,0.0,0.25,0.888346552776083,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,1.0,0.0,0.906934306569343,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,1.0,0.1,0.8902513795217658,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,1.0,0.25,0.8940316686967114,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,2.0,0.0,0.914752116082225,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,2.0,0.1,0.9,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,1000,2.0,0.25,0.8984894259818731,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,0.0,0.0,0.8870090634441088,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,0.0,0.1,0.8584905660377359,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,0.0,0.25,0.8634772462077013,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,1.0,0.0,0.9066100667070952,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,1.0,0.1,0.8516166281755196,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,1.0,0.25,0.8530942741469058,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,2.0,0.0,0.8946121965660154,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,2.0,0.1,0.8583765112262521,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,20,2.0,0.25,0.8380403458213257,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,0.0,0.0,0.8904358353510896,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,0.0,0.1,0.8710821998817267,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,0.0,0.25,0.8422287390029326,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,1.0,0.0,0.895946763460375,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,1.0,0.1,0.8660818713450292,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,1.0,0.25,0.8463785046728972,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,2.0,0.0,0.9073405535499398,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,2.0,0.1,0.8663967611336032,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,50,2.0,0.25,0.8473592571096924,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,0.0,0.0,0.8860450944546009,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,0.0,0.1,0.8764044943820225,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,0.0,0.25,0.8521377672209026,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,1.0,0.0,0.8939670932358318,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,1.0,0.1,0.8805882352941177,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,1.0,0.25,0.85,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,2.0,0.0,0.9096969696969697,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,2.0,0.1,0.8857644991212654,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,200,2.0,0.25,0.8664323374340949,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,0.0,0.0,0.8900427611484423,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,0.0,0.1,0.8771513353115727,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,0.0,0.25,0.857397504456328,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,1.0,0.0,0.8907203907203908,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,1.0,0.1,0.8861885002963841,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,1.0,0.25,0.8564650059311981,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,2.0,0.0,0.8987265009096422,no_n2v,AtomSegNet,AtomSegNet no_n2v
00021,1000,2.0,0.1,0.8917010005885815,no_n2v,AtomSegNet,AtomSegNet no_n2v
