condition,arch,fold,image,frac_pos,p_mean,p_frac_undecided,corr,polarity,fft_peak_raw_k,fft_peak_raw_strength,fft_peak_den_k,fft_peak_den_strength,fft_peak_kept
no_n2v,HRNet,2,Diamante-0025.tif,0.7055206298828125,0.5972961783409119,0.6476898193359375,0.22082827172822914,bright,20,1.2920749671087166,14,1.957656540136674,False
no_n2v,HRNet,2,Diamante-0026.tif,0.4046173095703125,0.40507644414901733,0.43011474609375,0.48862452530313233,bright,6,2.494206284744049,6,2.423154755933566,True
no_n2v,HRNet,2,Diamante-0027.tif,0.8736114501953125,0.7117241621017456,0.42095947265625,0.3412052440128877,bright,20,1.1968350048236347,14,2.527881904759901,False
no_n2v,HRNet,2,Diamante-0028.tif,0.390289306640625,0.3818856477737427,0.4084014892578125,0.6421744305580257,bright,4,1.834623862914087,4,1.788708560023055,True
no_n2v,HRNet,2,Diamante-0029.tif,0.6421356201171875,0.5863487720489502,0.3697509765625,0.5592078680722206,bright,5,1.4941464491865726,5,1.5011035592257604,True
no_n2v,HRNet,2,Diamante-0030.tif,0.5460662841796875,0.5169309377670288,0.355712890625,0.48501802145492506,bright,4,1.6927351084550966,4,1.511326899164118,True
no_n2v,HRNet,3,Diamante-0001.tif,0.483917236328125,0.4906109869480133,0.4809722900390625,0.43717197014161346,bright,4,1.0636267863507558,4,1.614493844455005,True
no_n2v,HRNet,3,Diamante-0004.tif,0.6079864501953125,0.5665788650512695,0.4667205810546875,0.47676441348426757,bright,22,1.0997777962379605,14,1.7072058122932463,False
no_n2v,HRNet,3,Diamante-0005.tif,0.531402587890625,0.5075390934944153,0.3939666748046875,0.6214328940481354,bright,4,2.008806506632607,4,2.173985971494309,True
no_n2v,HRNet,3,Diamante-0006.tif,0.4932861328125,0.48108696937561035,0.3359222412109375,0.45247894478243034,bright,10,1.7341791093841026,10,1.9612381369798264,True
no_n2v,HRNet,3,Diamante-0007.tif,0.4365997314453125,0.43265634775161743,0.387451171875,0.4490126549091116,bright,11,1.6892554376480646,11,1.946056327493671,True
no_n2v,HRNet,3,Diamante-0008.tif,0.5446929931640625,0.5282151699066162,0.3379974365234375,0.47199282279617466,bright,4,2.9196661099296617,4,3.4293782551454988,True
no_n2v,HRNet,3,Diamante-0009.tif,0.5392303466796875,0.5217746496200562,0.3101806640625,0.5988246402103585,bright,5,4.602917836345904,5,4.558013605426353,True
no_n2v,HRNet,3,Diamante-0010.tif,0.57568359375,0.5491774082183838,0.321502685546875,0.5559592753793164,bright,6,3.6188744396964765,6,4.026914701816329,True
no_n2v,HRNet,3,Diamante-0011.tif,0.512725830078125,0.4944749176502228,0.31719970703125,0.4920483218975969,bright,4,2.2089435076127715,4,2.603230624813476,True
no_n2v,HRNet,3,Diamante-0012.tif,0.553680419921875,0.537046492099762,0.3570404052734375,0.4748715996487696,bright,4,4.004886455654313,4,4.076951693402415,True
no_n2v,HRNet,3,Diamante-0013.tif,0.5101470947265625,0.4920809268951416,0.27362060546875,0.6693537462876544,bright,5,1.7782758408144923,5,1.9349967636607046,True
no_n2v,HRNet,3,Diamante-0014.tif,0.4554595947265625,0.4391581416130066,0.295562744140625,0.7541646103687389,bright,4,2.7391087067256894,4,2.8788300828937183,True
no_n2v,HRNet,3,Diamante-0015.tif,0.5467071533203125,0.5291858911514282,0.345428466796875,0.37988582927813475,bright,4,3.241301324307807,4,3.559418361758824,True
no_n2v,HRNet,3,Diamante-0016.tif,0.65948486328125,0.6217907071113586,0.3152923583984375,0.47754978857396696,bright,4,3.99144447816608,4,4.5845644484324035,True
no_n2v,HRNet,3,Diamante-0017.tif,0.6106109619140625,0.5763206481933594,0.3477935791015625,0.43643756185888893,bright,4,2.0251612215754444,4,1.9805141210511283,True
no_n2v,HRNet,3,Diamante-0018.tif,0.5137176513671875,0.4984763264656067,0.389862060546875,0.34355696128716096,bright,10,1.7295321276475093,10,1.879503816988472,True
no_n2v,HRNet,3,Diamante-0019.tif,0.4951629638671875,0.4881652295589447,0.366729736328125,0.36078178843703773,bright,10,1.5113006354175216,10,1.9005008781838535,True
no_n2v,HRNet,3,Diamante-0020.tif,0.5550689697265625,0.5361732840538025,0.40869140625,0.288550205454335,bright,5,3.1304747497018677,5,4.715277548839115,True
no_n2v,HRNet,3,Diamante-0021.tif,0.6028594970703125,0.5649041533470154,0.5125274658203125,0.24638307460009495,bright,5,1.9617316779774752,5,2.204153548037019,True
no_n2v,HRNet,3,Diamante-0022.tif,0.604827880859375,0.5671197175979614,0.319549560546875,0.5766814400515886,bright,6,3.016556123992835,6,3.6411729911698307,True
no_n2v,HRNet,3,Diamante-0023.tif,0.4833526611328125,0.4795399308204651,0.325653076171875,0.5091391670287385,bright,4,2.8146013470792237,4,3.2074961812919076,True
no_n2v,HRNet,3,Diamante-0024.tif,0.5321807861328125,0.5048630833625793,0.3865814208984375,0.5474932317195182,bright,4,1.7054447598806237,4,1.8314011182528653,True
no_n2v,HRNet,3,Diamante-0025.tif,0.5386505126953125,0.5260442495346069,0.5461883544921875,0.30641577416196814,bright,20,1.2920749671087166,15,2.0426028531228746,False
no_n2v,HRNet,3,Diamante-0026.tif,0.4409637451171875,0.4284229278564453,0.34759521484375,0.5545687510584308,bright,6,2.494206284744049,6,2.7177576202739737,True
no_n2v,HRNet,3,Diamante-0027.tif,0.7539520263671875,0.6415865421295166,0.5102691650390625,0.3410914075498781,bright,20,1.1968350048236347,14,2.237170303498087,False
no_n2v,HRNet,3,Diamante-0028.tif,0.3899078369140625,0.3854162395000458,0.3576507568359375,0.596942344991234,bright,4,1.834623862914087,4,1.886466982305108,True
no_n2v,HRNet,3,Diamante-0029.tif,0.633636474609375,0.5890840291976929,0.3118896484375,0.5190685986884948,bright,5,1.4941464491865726,5,1.5300361339501116,True
no_n2v,HRNet,3,Diamante-0030.tif,0.5221405029296875,0.5018091201782227,0.32391357421875,0.5003941971797832,bright,4,1.6927351084550966,4,1.687355804118118,True
no_n2v,HRNet,4,Diamante-0001.tif,0.362152099609375,0.3843534588813782,0.3455047607421875,0.31956553715453556,bright,4,1.0636267863507558,4,2.0244344166547275,True
no_n2v,HRNet,4,Diamante-0004.tif,0.730682373046875,0.6504773497581482,0.38739013671875,0.4248855358917778,bright,22,1.0997777962379605,14,1.7431999265829354,False
no_n2v,HRNet,4,Diamante-0005.tif,0.538848876953125,0.5179659128189087,0.3612823486328125,0.595786147254474,bright,4,2.008806506632607,4,1.940606352496482,True
no_n2v,HRNet,4,Diamante-0006.tif,0.473052978515625,0.4615313410758972,0.3218536376953125,0.47040588447834497,bright,10,1.7341791093841026,10,2.0771709853550764,True
no_n2v,HRNet,4,Diamante-0007.tif,0.4318389892578125,0.4327723979949951,0.3344573974609375,0.4358323824346531,bright,11,1.6892554376480646,11,2.176606259014302,True
no_n2v,HRNet,4,Diamante-0008.tif,0.5255126953125,0.5178759098052979,0.3246612548828125,0.5042776704663682,bright,4,2.9196661099296617,4,3.3614187472756067,True
no_n2v,HRNet,4,Diamante-0009.tif,0.477874755859375,0.47452259063720703,0.298980712890625,0.5987839066805416,bright,5,4.602917836345904,5,3.9662573328146395,True
no_n2v,HRNet,4,Diamante-0010.tif,0.490478515625,0.4896029829978943,0.3043975830078125,0.5598508418120389,bright,6,3.6188744396964765,6,3.609505605473501,True
no_n2v,HRNet,4,Diamante-0011.tif,0.490325927734375,0.4826740026473999,0.288330078125,0.49130370951623636,bright,4,2.2089435076127715,4,2.2584015913470212,True
no_n2v,HRNet,4,Diamante-0012.tif,0.4802093505859375,0.488263875246048,0.3340911865234375,0.49062516170908294,bright,4,4.004886455654313,4,3.310617123480789,True
no_n2v,HRNet,4,Diamante-0013.tif,0.4716796875,0.46857762336730957,0.2794647216796875,0.6689946977614979,bright,5,1.7782758408144923,5,2.0047667330365613,True
no_n2v,HRNet,4,Diamante-0014.tif,0.40863037109375,0.4108104109764099,0.2851409912109375,0.7237990776258709,bright,4,2.7391087067256894,4,2.8302529467497877,True
no_n2v,HRNet,4,Diamante-0015.tif,0.4992218017578125,0.4946783185005188,0.3531646728515625,0.39967617685736084,bright,4,3.241301324307807,4,3.20759161228188,True
no_n2v,HRNet,4,Diamante-0016.tif,0.6136016845703125,0.5915595293045044,0.3231964111328125,0.49498264348998067,bright,4,3.99144447816608,4,4.922226722573988,True
no_n2v,HRNet,4,Diamante-0017.tif,0.55657958984375,0.5339018702507019,0.3211212158203125,0.4676156095383594,bright,4,2.0251612215754444,4,1.7379592482968702,True
